seqname   source      feature     start       end score strand frame                                         attributes
                       3R  FlyBase  start_codon    835381    835383     .      +     0  gene_id "FBgn0267431"; transcript_id "FBtr0346...
                       3R  FlyBase  start_codon   3263571   3263573     .      -     0  gene_id "FBgn0267430"; transcript_id "FBtr0346...
                       3R  FlyBase  start_codon   3322810   3322812     .      +     0  gene_id "FBgn0086917"; transcript_id "FBtr0300...
                       3R  FlyBase  start_codon   3586977   3586979     .      -     0  gene_id "FBgn0010247"; transcript_id "FBtr0113...
                       3R  FlyBase  start_codon   3623217   3623219     .      +     0  gene_id "FBgn0086378"; transcript_id "FBtr0301...
                       3R  FlyBase  start_codon   3735023   3735025     .      +     0  gene_id "FBgn0263977"; transcript_id "FBtr0113...
                       3R  FlyBase  start_codon   3735023   3735025     .      +     0  gene_id "FBgn0263977"; transcript_id "FBtr0345...
                       3R  FlyBase  start_codon   3750458   3750460     .      +     0  gene_id "FBgn0069923"; transcript_id "FBtr0301...
                       3R  FlyBase  start_codon   3846891   3846893     .      +     0  gene_id "FBgn0039955"; transcript_id "FBtr0113...
                       3R  FlyBase  start_codon   3849528   3849530     .      +     0  gene_id "FBgn0039955"; transcript_id "FBtr0344...
                       3R  FlyBase  start_codon   3849528   3849530     .      +     0  gene_id "FBgn0039955"; transcript_id "FBtr0113...
                       3R  FlyBase  start_codon   3846902   3846904     .      +     0  gene_id "FBgn0039955"; transcript_id "FBtr0113...
                       3R  FlyBase  start_codon   4085479   4085481     .      +     0  gene_id "FBgn0259821"; transcript_id "FBtr0336...
                       3R  FlyBase  start_codon   4081690   4081692     .      +     0  gene_id "FBgn0259821"; transcript_id "FBtr0339...
                       3R  FlyBase  start_codon   4085479   4085481     .      +     0  gene_id "FBgn0259821"; transcript_id "FBtr0301...
                       3R  FlyBase  start_codon   4132920   4132922     .      +     0  gene_id "FBgn0027341"; transcript_id "FBtr0302...
                       3R  FlyBase  start_codon   4132920   4132922     .      +     0  gene_id "FBgn0027341"; transcript_id "FBtr0113...
                       3R  FlyBase  start_codon   4135115   4135117     .      +     0  gene_id "FBgn0027341"; transcript_id "FBtr0302...
                       3R  FlyBase  start_codon   4132920   4132922     .      +     0  gene_id "FBgn0027341"; transcript_id "FBtr0113...
                       3R  FlyBase  start_codon   4132920   4132922     .      +     0  gene_id "FBgn0027341"; transcript_id "FBtr0302...
                       3R  FlyBase  start_codon   4132920   4132922     .      +     0  gene_id "FBgn0027341"; transcript_id "FBtr0302...
                       3R  FlyBase  start_codon   4133365   4133367     .      +     0  gene_id "FBgn0027341"; transcript_id "FBtr0302...
                       3R  FlyBase  start_codon   4132920   4132922     .      +     0  gene_id "FBgn0027341"; transcript_id "FBtr0113...
                       3R  FlyBase  start_codon   4135292   4135294     .      +     0  gene_id "FBgn0027341"; transcript_id "FBtr0113...
                       3R  FlyBase  start_codon   4162205   4162207     .      -     0  gene_id "FBgn0058198"; transcript_id "FBtr0333...
                       3R  FlyBase  start_codon   4162205   4162207     .      -     0  gene_id "FBgn0058198"; transcript_id "FBtr0301...
                       3R  FlyBase  start_codon   4175393   4175395     .      +     0  gene_id "FBgn0037213"; transcript_id "FBtr0078...
                       3R  FlyBase  start_codon   4175393   4175395     .      +     0  gene_id "FBgn0037213"; transcript_id "FBtr0078...
                       3R  FlyBase  start_codon   4190231   4190233     .      -     0  gene_id "FBgn0000500"; transcript_id "FBtr0078...
